Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2019",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Modesto, CA M.S.A.",,"549,632", ,,,,, ,,,
,Includes Stanislaus County,,,,,,,,,,
,City of Modesto,"216,542","1,758 ",13 ,94 ,399 ,"1,252 ","7,183 ","1,149 ","4,849 ","1,185 "
,Total area actually reporting,100.0%,"2,908 ",25 ,170 ,724 ,"1,989 ","14,274 ","2,628 ","9,155 ","2,491 "
,"Rate per 100,000 inhabitants",,529.1,4.5,30.9,131.7,361.9,"2,597.0",478.1,"1,665.7",453.2
"Monroe, LA M.S.A.",,"200,739", ,,,,, ,,,
,"Includes Morehouse, Ouachita, and Union Parishes",,,,,,,,,,
,City of Monroe,"47,746",843 ,9 ,37 ,171 ,626 ,"3,141 ",623 ,"2,339 ",179 
,Total area actually reporting,96.5%,"1,606 ",23 ,102 ,251 ,"1,230 ","8,142 ","1,862 ","5,788 ",492 
,Estimated total,100.0%,"1,631 ",23 ,102 ,253 ,"1,253 ","8,353 ","1,903 ","5,948 ",502 
,"Rate per 100,000 inhabitants",,812.5,11.5,50.8,126.0,624.2,"4,161.1",948.0,"2,963.1",250.1
"Morgantown, WV M.S.A.",,"140,923", ,,,,, ,,,
,Includes Monongalia and Preston Counties,,,,,,,,,,
,City of Morgantown,"31,281",67 ,0 ,9 ,5 ,53 ,489 ,71 ,383 ,35 
,Total area actually reporting,88.8%,244 ,1 ,41 ,11 ,191 ,"1,515 ",309 ,"1,098 ",108 
,Estimated total,100.0%,288 ,1 ,46 ,16 ,225 ,"1,862 ",370 ,"1,363 ",129 
,"Rate per 100,000 inhabitants",,204.4,0.7,32.6,11.4,159.7,"1,321.3",262.6,967.2,91.5
"Morristown, TN M.S.A.",,"142,399", ,,,,, ,,,
,"Includes Grainger, Hamblen, and Jefferson Counties",,,,,,,,,,
,City of Morristown,"30,044",255 ,2 ,16 ,18 ,219 ,"1,423 ",169 ,"1,140 ",114 
,Total area actually reporting,100.0%,552 ,4 ,47 ,29 ,472 ,"2,919 ",506 ,"2,114 ",299 
,"Rate per 100,000 inhabitants",,387.6,2.8,33.0,20.4,331.5,"2,049.9",355.3,"1,484.6",210.0
"Mount Vernon-Anacortes, WA M.S.A.",,"129,233",,,,,,,,,
,Includes Skagit County,, ,,,,,,,,
,City of Mount Vernon,"36,274",55 ,0 ,13 ,17 ,25 ,"1,140 ",126 ,899 ,115 
,City of Anacortes,"17,483",20 ,1 ,2 ,6 ,11 ,387 ,67 ,306 ,14 
,Total area actually reporting,100.0%,201 ,2 ,40 ,42 ,117 ,"3,178 ",506 ,"2,433 ",239 
,"Rate per 100,000 inhabitants",,155.5,1.5,31.0,32.5,90.5,"2,459.1",391.5,"1,882.6",184.9
"Muskegon, MI M.S.A.4",,"173,362", ,,,,, ,,,
,Includes Muskegon County,,,,,,,,,,
,City of Muskegon,"37,178",308 ,8 ,27 ,46 ,227 ,"1,293 ",252 ,911 ,130 
,Total area actually reporting,100.0%,786 ,17 ,127 ,103 ,539 ,,,"3,434 ",264 
,"Rate per 100,000 inhabitants",,453.4,9.8,73.3,59.4,310.9,,,"1,980.8",152.3
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC M.S.A.3",,"495,661",,,,,,,,,
,"Includes Brunswick County, NC3 and Horry County, SC",, ,,,,,,,,
,"City of Myrtle Beach, SC","34,860",415 ,3 ,52 ,98 ,262 ,"3,916 ",304 ,"3,384 ",228 
,"City of Conway, SC","26,127",111 ,1 ,14 ,11 ,85 ,884 ,90 ,739 ,55 
,"City of North Myrtle Beach, SC","16,942",71 ,1 ,15 ,10 ,45 ,"1,115 ",108 ,910 ,97 
,Total area actually reporting,82.0%,"1,586 ",19 ,253 ,223 ,"1,091 ","13,645 ","1,862 ","10,789 ",994 
,Estimated total,100.0%,"1,772 ",22 ,274 ,241 ,"1,235 ","14,926 ","2,275 ","11,542 ","1,109 "
,"Rate per 100,000 inhabitants",,357.5,4.4,55.3,48.6,249.2,"3,011.3",459.0,"2,328.6",223.7
"Napa, CA M.S.A.",,"138,570", ,,,,, ,,,
,Includes Napa County,,,,,,,,,,
,City of Napa,"79,526",280 ,1 ,66 ,55 ,158 ,"1,232 ",248 ,847 ,137 
,Total area actually reporting,100.0%,753 ,1 ,90 ,70 ,592 ,"2,162 ",395 ,"1,578 ",189 
,"Rate per 100,000 inhabitants",,543.4,0.7,64.9,50.5,427.2,"1,560.2",285.1,"1,138.8",136.4
"Naples-Marco Island, FL M.S.A.",,"383,360",,,,,,,,,
,Includes Collier County,, ,,,,,,,,
,City of Naples,"22,369",11 ,1 ,2 ,1 ,7 ,323 ,29 ,275 ,19 
,City of Marco Island,"18,124",7 ,0 ,1 ,2 ,4 ,83 ,7 ,74 ,2 
,Total area actually reporting,100.0%,896 ,9 ,127 ,147 ,613 ,"4,308 ",469 ,"3,530 ",309 
,"Rate per 100,000 inhabitants",,233.7,2.3,33.1,38.3,159.9,"1,123.7",122.3,920.8,80.6
"Nashville-Davidson–Murfreesboro–Franklin, TN M.S.A.",,"1,941,822",,,,,,,,,
,"Includes Cannon, Cheatham, Davidson, Dickson, Macon, Maury, Robertson, Rutherford, Smith, Sumner, Trousdale, Williamson, and Wilson Counties ",,,,,,,,,,
,City of Metropolitan Nashville Police Department,"687,361","7,376 ",83 ,438 ,"1,978 ","4,877 ","27,777 ","3,374 ","21,655 ","2,748 "
,City of Murfreesboro,"145,929",611 ,4 ,96 ,106 ,405 ,"4,228 ",510 ,"3,454 ",264 
,City of Franklin,"83,517",138 ,0 ,15 ,10 ,113 ,926 ,58 ,814 ,54 
,Total area actually reporting,100.0%,"11,078 ",118 ,804 ,"2,313 ","7,843 ","47,565 ","5,896 ","37,196 ","4,473 "
,"Rate per 100,000 inhabitants",,570.5,6.1,41.4,119.1,403.9,"2,449.5",303.6,"1,915.5",230.4
"New Bern, NC M.S.A.3",,"124,876",,,,,,,,,
,"Includes Craven, Jones, and Pamlico Counties3",, ,,,,,,,,
,City of New Bern3,"30,187",125 ,0 ,5 ,21 ,99 ,999 ,195 ,787 ,17 
,Total area actually reporting,88.9%,321 ,4 ,29 ,38 ,250 ,"2,683 ",810 ,"1,738 ",135 
,Estimated total,100.0%,355 ,4 ,32 ,42 ,277 ,"2,954 ",881 ,"1,919 ",154 
,"Rate per 100,000 inhabitants",,284.3,3.2,25.6,33.6,221.8,"2,365.5",705.5,"1,536.7",123.3
"New Haven-Milford, CT M.S.A.",,"802,507",,,,,,,,,
,Includes New Haven County,, ,,,,,,,,
,City of New Haven,"130,494","1,168 ",13 ,45 ,321 ,789 ,"4,958 ",659 ,"3,580 ",719 
,City of Milford,"54,898",29 ,1 ,0 ,16 ,12 ,"1,028 ",95 ,853 ,80 
,Total area actually reporting,100.0%,"2,189 ",28 ,208 ,643 ,"1,310 ","16,938 ","2,046 ","12,729 ","2,163 "
,"Rate per 100,000 inhabitants",,272.8,3.5,25.9,80.1,163.2,"2,110.6",255.0,"1,586.2",269.5
"New Orleans-Metairie, LA M.S.A.",,"1,273,092",,,,,,,,,
,"Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, and St. Tammany Parishes",,,,,,,,,,
,City of New Orleans,"394,498","4,516 ",121 ,774 ,"1,013 ","2,608 ","20,879 ","2,143 ","15,785 ","2,951 "
,Total area actually reporting,95.4%,"6,765 ",198 ,955 ,"1,377 ","4,235 ","38,541 ","4,351 ","30,206 ","3,984 "
,Estimated total,100.0%,"7,021 ",203 ,975 ,"1,398 ","4,445 ","40,101 ","4,699 ","31,317 ","4,085 "
,"Rate per 100,000 inhabitants",,551.5,15.9,76.6,109.8,349.1,"3,149.9",369.1,"2,459.9",320.9
"Niles, MI M.S.A.",,"153,430",,,,,,,,,
,Includes Berrien County,,,,,,,,,,
,City of Niles,"11,106",86 ,0 ,20 ,17 ,49 ,366 ,49 ,274 ,43 
,Total area actually reporting,100.0%,845 ,5 ,168 ,79 ,593 ,"3,340 ",503 ,"2,540 ",297 
,"Rate per 100,000 inhabitants",,550.7,3.3,109.5,51.5,386.5,"2,176.9",327.8,"1,655.5",193.6
"North Port-Sarasota-Bradenton, FL M.S.A.",,"831,795",,,,,,,,,
,Includes Manatee and Sarasota Counties,,,,,,,,,,
,City of North Port,"70,181",95 ,1 ,22 ,8 ,64 ,967 ,89 ,847 ,31 
,City of Sarasota,"58,470",319 ,4 ,28 ,66 ,221 ,"1,857 ",264 ,"1,462 ",131 
,City of Bradenton,"58,782",360 ,6 ,22 ,57 ,275 ,"1,474 ",204 ,"1,191 ",79 
,City of Venice,"23,726",20 ,1 ,1 ,3 ,15 ,283 ,30 ,242 ,11 
,Total area actually reporting,100.0%,"2,732 ",26 ,286 ,380 ,"2,040 ","13,924 ","1,872 ","11,213 ",839 
,"Rate per 100,000 inhabitants",,328.4,3.1,34.4,45.7,245.3,"1,674.0",225.1,"1,348.0",100.9
"Norwich-New London, CT M.S.A.",,"174,879",,,,,,,,,
,Includes New London County,,,,,,,,,,
,City of Norwich,"38,964",149 ,0 ,26 ,22 ,101 ,533 ,112 ,368 ,53 
,City of New London,"26,856",79 ,0 ,19 ,32 ,28 ,461 ,90 ,329 ,42 
,Total area actually reporting,100.0%,339 ,3 ,82 ,59 ,195 ,"2,322 ",338 ,"1,835 ",149 
,"Rate per 100,000 inhabitants",,193.8,1.7,46.9,33.7,111.5,"1,327.8",193.3,"1,049.3",85.2
"Ocala, FL M.S.A.",,"361,126",,,,,,,,,
,Includes Marion County,, ,,,,, ,,,
,City of Ocala,"60,932",493 ,7 ,52 ,108 ,326 ,"2,548 ",252 ,"2,131 ",165 
,Total area actually reporting,100.0%,"1,556 ",31 ,227 ,211 ,"1,087 ","6,841 ","1,198 ","4,947 ",696 
,"Rate per 100,000 inhabitants",,430.9,8.6,62.9,58.4,301.0,"1,894.4",331.7,"1,369.9",192.7
"Ocean City, NJ M.S.A.",,"91,575",,,,,,,,,
,Includes Cape May County,, ,,,,, ,,,
,City of Ocean City,"10,962",6 ,0 ,0 ,2 ,4 ,323 ,37 ,285 ,1 
,Total area actually reporting,100.0%,161 ,0 ,24 ,23 ,114 ,"1,909 ",291 ,"1,573 ",45 
,"Rate per 100,000 inhabitants",,175.8,0.0,26.2,25.1,124.5,"2,084.6",317.8,"1,717.7",49.1
"Odessa, TX M.S.A.",,"164,546",,,,,,,,,
,Includes Ector County,, ,,,,, ,,,
,City of Odessa,"123,468","1,282 ",13 ,141 ,128 ,"1,000 ","3,624 ",469 ,"2,656 ",499 
,Total area actually reporting,100.0%,"1,451 ",17 ,152 ,147 ,"1,135 ","5,205 ",707 ,"3,641 ",857 
,"Rate per 100,000 inhabitants",,881.8,10.3,92.4,89.3,689.8,"3,163.2",429.7,"2,212.8",520.8
"Ogden-Clearfield, UT M.S.A.3, 4",,"683,537",,,,,,,,,
,"Includes Box Elder,3 Davis, Morgan,4 and Weber Counties",,,,,,,,,,
,City of Ogden,"87,875",384 ,6 ,84 ,63 ,231 ,"3,211 ",484 ,"2,382 ",345 
,City of Clearfield,"32,217",56 ,0 ,12 ,5 ,39 ,369 ,38 ,292 ,39 
,Total area actually reporting,99.5%,"1,162 ",9 ,360 ,121 ,672 ,,,"8,619 ",978 
,Estimated total,100.0%,"1,167 ",9 ,361 ,122 ,675 ,,,"8,703 ",984 
,"Rate per 100,000 inhabitants",,170.7,1.3,52.8,17.8,98.8,,,"1,273.2",144.0
"Oklahoma City, OK M.S.A.3",,"1,411,162",,,,,,,,,
,"Includes Canadian, Cleveland, Grady, Lincoln, Logan, McClain, and Oklahoma Counties",, ,,,,, ,,,
,City of Oklahoma City3,"657,819","4,751 ",75 ,539 ,888 ,"3,249 ","26,918 ","6,206 ","16,922 ","3,790 "
,Total area actually reporting,100.0%,"6,506 ",108 ,886 ,"1,133 ","4,379 ","43,321 ","9,577 ","28,189 ","5,555 "
,"Rate per 100,000 inhabitants",,461.0,7.7,62.8,80.3,310.3,"3,069.9",678.7,"1,997.6",393.6
"Olympia-Lacey-Tumwater, WA M.S.A.",,"289,877",,,,,,,,,
,Includes Thurston County,, ,,,,, ,,,
,City of Olympia,"53,286",254 ,2 ,25 ,70 ,157 ,"1,854 ",244 ,"1,409 ",201 
,City of Lacey,"51,816",105 ,0 ,29 ,17 ,59 ,"1,436 ",180 ,"1,136 ",120 
,City of Tumwater,"24,167",73 ,0 ,14 ,18 ,41 ,648 ,99 ,483 ,66 
,Total area actually reporting,100.0%,715 ,5 ,99 ,129 ,482 ,"6,005 ","1,108 ","4,274 ",623 
,"Rate per 100,000 inhabitants",,246.7,1.7,34.2,44.5,166.3,"2,071.6",382.2,"1,474.4",214.9
"Omaha-Council Bluffs, NE-IA M.S.A.",,"947,962",,,,,,,,,
,"Includes Harrison, Mills, and Pottawattamie Counties, IA and Cass, Douglas, Sarpy, Saunders, and Washington Counties, NE",,,,,,,,,,
,"City of Omaha, NE","470,481","2,883 ",23 ,379 ,519 ,"1,962 ","17,144 ","1,684 ","12,307 ","3,153 "
,"City of Council Bluffs, IA ","62,427",493 ,6 ,39 ,57 ,391 ,"3,649 ",529 ,"2,629 ",491 
,Total area actually reporting,99.7%,"3,891 ",34 ,571 ,629 ,"2,657 ","25,055 ","2,792 ","18,061 ","4,202 "
,Estimated total,100.0%,"3,916 ",34 ,588 ,629 ,"2,665 ","25,089 ","2,792 ","18,095 ","4,202 "
,"Rate per 100,000 inhabitants",,413.1,3.6,62.0,66.4,281.1,"2,646.6",294.5,"1,908.8",443.3
"Orlando-Kissimmee-Sanford, FL M.S.A.",,"2,614,835",,,,,,,,,
,"Includes Lake, Orange, Osceola, and Seminole Counties",, ,,,,, ,,,
,City of Orlando,"292,120","2,157 ",25 ,204 ,536 ,"1,392 ","14,100 ","1,464 ","11,362 ","1,274 "
,City of Kissimmee,"75,544",368 ,3 ,42 ,54 ,269 ,"1,899 ",257 ,"1,504 ",138 
,City of Sanford,"60,844",497 ,2 ,62 ,116 ,317 ,"2,127 ",315 ,"1,689 ",123 
,Total area actually reporting,100.0%,"11,242 ",120 ,"1,179 ","2,298 ","7,645 ","62,756 ","9,389 ","47,901 ","5,466 "
,"Rate per 100,000 inhabitants",,429.9,4.6,45.1,87.9,292.4,"2,400.0",359.1,"1,831.9",209.0
"Oshkosh-Neenah, WI M.S.A.3",,"171,309",,,,,,,,,
,Includes Winnebago County,,,,,,,,,,
,City of Oshkosh3,"66,797",190 ,0 ,50 ,16 ,124 ,"1,067 ",213 ,794 ,60 
,City of Neenah3,"26,133",45 ,1 ,10 ,0 ,34 ,330 ,28 ,288 ,14 
,Total area actually reporting,100.0%,338 ,1 ,86 ,21 ,230 ,"2,008 ",339 ,"1,563 ",106 
,"Rate per 100,000 inhabitants",,197.3,0.6,50.2,12.3,134.3,"1,172.2",197.9,912.4,61.9
"Owensboro, KY M.S.A.",,"119,217",,,,,,,,,
,"Includes Daviess, Hancock, and McLean Counties",, ,,,,, ,,,
,City of Owensboro,"60,107",135 ,6 ,30 ,33 ,66 ,"2,432 ",358 ,"1,874 ",200 
,Total area actually reporting,100.0%,159 ,8 ,41 ,34 ,76 ,"2,896 ",490 ,"2,152 ",254 
,"Rate per 100,000 inhabitants",,133.4,6.7,34.4,28.5,63.7,"2,429.2",411.0,"1,805.1",213.1
"Oxnard-Thousand Oaks-Ventura, CA M.S.A.",,"847,049",,,,,,,,,
,Includes Ventura County,,,,,,,,,,
,City of Oxnard,"211,349",724 ,13 ,62 ,275 ,374 ,"4,242 ",670 ,"2,987 ",585 
,City of Thousand Oaks,"127,811",88 ,0 ,27 ,23 ,38 ,"1,392 ",244 ,"1,084 ",64 
,City of Ventura,"111,596",458 ,3 ,56 ,106 ,293 ,"2,969 ",353 ,"2,362 ",254 
,City of Camarillo,"69,628",58 ,0 ,22 ,16 ,20 ,817 ,100 ,676 ,41 
,Total area actually reporting,100.0%,"1,830 ",24 ,232 ,527 ,"1,047 ","12,634 ","1,946 ","9,454 ","1,234 "
,"Rate per 100,000 inhabitants",,216.0,2.8,27.4,62.2,123.6,"1,491.5",229.7,"1,116.1",145.7
"Palm Bay-Melbourne-Titusville, FL M.S.A.",,"599,498",,,,,,,,,
,Includes Brevard County,,,,,,,,,,
,City of Palm Bay,"115,520",396 ,8 ,71 ,59 ,258 ,"1,981 ",334 ,"1,499 ",148 
,City of Melbourne,"83,668",579 ,1 ,80 ,87 ,411 ,"2,802 ",439 ,"2,219 ",144 
,City of Titusville,"46,866",377 ,2 ,37 ,52 ,286 ,"1,492 ",289 ,"1,031 ",172 
,Total area actually reporting,100.0%,"2,224 ",23 ,262 ,332 ,"1,607 ","12,269 ","2,019 ","9,322 ",928 
,"Rate per 100,000 inhabitants",,371.0,3.8,43.7,55.4,268.1,"2,046.5",336.8,"1,555.0",154.8
"Panama City, FL M.S.A.",,"186,063",,,,,,,,,
,Includes Bay County,,,,,,,,,,
,City of Panama City,"37,199",228 ,2 ,5 ,42 ,179 ,"1,914 ",384 ,"1,308 ",222 
,Total area actually reporting,100.0%,826 ,8 ,91 ,103 ,624 ,"5,707 ","1,097 ","4,139 ",471 
,"Rate per 100,000 inhabitants",,443.9,4.3,48.9,55.4,335.4,"3,067.2",589.6,"2,224.5",253.1
"Pensacola-Ferry Pass-Brent, FL M.S.A.",,"497,168",,,,,,,,,
,Includes Escambia and Santa Rosa Counties,,,,,,,,,,
,City of Pensacola,"52,801",312 ,3 ,35 ,38 ,236 ,"1,888 ",287 ,"1,508 ",93 
,Total area actually reporting,100.0%,"2,037 ",32 ,247 ,355 ,"1,403 ","10,827 ","2,189 ","7,862 ",776 
,"Rate per 100,000 inhabitants",,409.7,6.4,49.7,71.4,282.2,"2,177.7",440.3,"1,581.4",156.1
"Peoria, IL M.S.A.",,"399,839",,,,,,,,,
,"Includes Fulton, Marshall, Peoria, Stark, Tazewell, and Woodford Counties",, ,,,,, ,,,
,City of Peoria,"110,955","1,158 ",25 ,65 ,268 ,800 ,"4,160 ",758 ,"2,959 ",443 
,Total area actually reporting,94.9%,"1,775 ",30 ,193 ,309 ,"1,243 ","7,432 ","1,481 ","5,290 ",661 
,Estimated total,100.0%,"1,807 ",30 ,198 ,312 ,"1,267 ","7,735 ","1,524 ","5,530 ",681 
,"Rate per 100,000 inhabitants",,451.9,7.5,49.5,78.0,316.9,"1,934.5",381.2,"1,383.1",170.3
"Phoenix-Mesa-Chandler, AZ M.S.A.3, 4",,"4,949,304",,,,,,,,,
,Includes Maricopa and Pinal Counties,,,,,,,,,,
,City of Phoenix,"1,688,722","11,803 ",131 ,"1,139 ","3,197 ","7,336 ","55,974 ","9,471 ","39,427 ","7,076 "
,City of Mesa,"518,160","1,953 ",11 ,286 ,390 ,"1,266 ","9,683 ","1,518 ","7,326 ",839 
,City of Chandler,"259,881",593 ,4 ,134 ,102 ,353 ,"5,382 ",547 ,"4,458 ",377 
,City of Scottsdale,"260,464",415 ,3 ,136 ,110 ,166 ,"5,099 ",662 ,"4,173 ",264 
,City of Tempe,"196,499",889 ,8 ,141 ,209 ,531 ,"7,420 ",922 ,"5,891 ",607 
,City of Casa Grande3,"58,366",274 ,2 ,27 ,33 ,212 ,"1,336 ",149 ,"1,071 ",116 
,Total area actually reporting,91.3%,"19,721 ",208 ,"2,313 ","4,672 ","12,528 ",,,"85,599 ","11,791 "
,Estimated total,100.0%,"21,110 ",226 ,"2,464 ","4,805 ","13,615 ",,,"89,332 ","12,465 "
,"Rate per 100,000 inhabitants",,426.5,4.6,49.8,97.1,275.1,,,"1,804.9",251.9
"Pine Bluff, AR M.S.A.4",,"88,005", ,,,,, ,,,
,"Includes Cleveland, Jefferson, and Lincoln Counties",,,,,,,,,,
,City of Pine Bluff4,"41,505",644 ,23 ,23 ,96 ,502 ,,,"1,448 ",271 
,Total area actually reporting,98.6%,782 ,28 ,50 ,102 ,602 ,,,"1,906 ",366 
,Estimated total,100.0%,788 ,28 ,51 ,102 ,607 ,,,"1,924 ",368 
,"Rate per 100,000 inhabitants",,895.4,31.8,58.0,115.9,689.7,,,"2,186.2",418.2
"Pittsfield, MA M.S.A.3",,"124,775", ,,,,, ,,,
,Includes Berkshire County,,,,,,,,,,
,City of Pittsfield,"42,268",300 ,2 ,36 ,31 ,231 ,796 ,263 ,490 ,43 
,Total area actually reporting,90.2%,446 ,2 ,73 ,43 ,328 ,"1,617 ",431 ,"1,119 ",67 
,Estimated total,100.0%,475 ,2 ,76 ,46 ,351 ,"1,730 ",450 ,"1,205 ",75 
,"Rate per 100,000 inhabitants",,380.7,1.6,60.9,36.9,281.3,"1,386.5",360.6,965.7,60.1
"Pocatello, ID M.S.A.",,"95,848",,,,,,,,,
,Includes Bannock and Power Counties,,,,,,,,,,
,City of Pocatello ,"56,514",233 ,1 ,30 ,9 ,193 ,"1,326 ",226 ,"1,012 ",88 
,Total area actually reporting,100.0%,287 ,1 ,42 ,15 ,229 ,"2,018 ",288 ,"1,614 ",116 
,"Rate per 100,000 inhabitants",,299.4,1.0,43.8,15.6,238.9,"2,105.4",300.5,"1,683.9",121.0
"Portland-South Portland, ME M.S.A.3",,"539,924",,,,,,,,,
,"Includes Cumberland, Sagadahoc,3 and York Counties",, ,,,,,,,,
,City of Portland,"66,458",161 ,3 ,29 ,43 ,86 ,"1,715 ",181 ,"1,460 ",74 
,City of South Portland,"25,686",48 ,0 ,17 ,8 ,23 ,563 ,39 ,505 ,19 
,Total area actually reporting,100.0%,619 ,6 ,175 ,93 ,345 ,"6,784 ",837 ,"5,699 ",248 
,"Rate per 100,000 inhabitants",,114.6,1.1,32.4,17.2,63.9,"1,256.5",155.0,"1,055.5",45.9
"Portland-Vancouver-Hillsboro, OR-WA M.S.A.",,"2,500,376",,,,,,,,,
,"Includes Clackamas, Columbia, Multnomah, Washington, and Yamhill Counties, OR and Clark and Skamania Counties, WA",,,,,,,,,,
,"City of Portland, OR","662,114","3,606 ",29 ,368 ,979 ,"2,230 ","34,452 ","4,200 ","23,820 ","6,432 "
,"City of Vancouver, WA","185,034",889 ,3 ,206 ,185 ,495 ,"5,998 ",888 ,"4,302 ",808 
,"City of Hillsboro, OR","110,549",274 ,0 ,77 ,56 ,141 ,"2,164 ",175 ,"1,779 ",210 
,"City of Beaverton, OR","100,130",217 ,1 ,53 ,49 ,114 ,"1,988 ",185 ,"1,601 ",202 
,"City of Tigard, OR","55,621",119 ,0 ,13 ,29 ,77 ,"1,410 ",137 ,"1,158 ",115 
,Total area actually reporting,98.5%,"7,514 ",59 ,"1,246 ","1,666 ","4,543 ","68,398 ","8,444 ","48,993 ","10,961 "
,Estimated total,100.0%,"7,565 ",59 ,"1,255 ","1,668 ","4,583 ","68,684 ","8,483 ","49,221 ","10,980 "
,"Rate per 100,000 inhabitants",,302.6,2.4,50.2,66.7,183.3,"2,746.9",339.3,"1,968.5",439.1
"Port St. Lucie, FL M.S.A.",,"486,186",,,,,,,,,
,Includes Martin and St. Lucie Counties,, ,,,,,,,,
,City of Port St. Lucie,"199,433",293 ,7 ,43 ,47 ,196 ,"1,696 ",177 ,"1,438 ",81 
,Total area actually reporting,100.0%,"1,161 ",24 ,200 ,194 ,743 ,"6,184 ",764 ,"4,991 ",429 
,"Rate per 100,000 inhabitants",,238.8,4.9,41.1,39.9,152.8,"1,271.9",157.1,"1,026.6",88.2
"Poughkeepsie-Newburg-Middletown, NY M.S.A.",,"672,535",,,,,,,,,
,Includes Dutchess and Orange Counties,, ,,,,, ,,,
,City of Poughkeepsie,"30,422",235 ,3 ,26 ,63 ,143 ,513 ,73 ,402 ,38 
,City of Newburgh,"28,070",317 ,3 ,19 ,82 ,213 ,640 ,137 ,484 ,19 
,City of Middletown,"27,801",87 ,3 ,16 ,16 ,52 ,308 ,45 ,249 ,14 
,City of Woodbury Town,"11,006",3 ,0 ,0 ,1 ,2 ,460 ,5 ,450 ,5 
,Total area actually reporting,89.7%,"1,263 ",16 ,245 ,234 ,768 ,"7,372 ",690 ,"6,449 ",233 
,Estimated total,100.0%,"1,286 ",16 ,246 ,235 ,789 ,"7,443 ",696 ,"6,512 ",235 
,"Rate per 100,000 inhabitants",,191.2,2.4,36.6,34.9,117.3,"1,106.7",103.5,968.3,34.9
"Prescott Valley-Prescott, AZ M.S.A.",,"234,899",,,,,,,,,
,Includes Yavapai County,, ,,,,,,,,
,City of Prescott Valley,"46,700",93 ,3 ,11 ,6 ,73 ,474 ,51 ,404 ,19 
,City of Prescott,"43,781",214 ,1 ,20 ,11 ,182 ,684 ,134 ,518 ,32 
,Total area actually reporting,100.0%,651 ,9 ,35 ,28 ,579 ,"3,143 ",520 ,"2,413 ",210 
,"Rate per 100,000 inhabitants",,277.1,3.8,14.9,11.9,246.5,"1,338.0",221.4,"1,027.3",89.4
"Providence-Warwick, RI-MA M.S.A.",,"1,620,927",,,,,,,,,
,"Includes Bristol County, MA and Bristol, Kent, Newport, Providence, and Washington Counties, RI",, ,,,,, ,,,
,"City of Providence, RI ","179,762",892 ,13 ,106 ,241 ,532 ,"5,413 ",715 ,"4,224 ",474 
,"City of Warwick, RI","80,749",76 ,2 ,29 ,8 ,37 ,"1,239 ",108 ,"1,073 ",58 
,Total area actually reporting,99.5%,"4,566 ",38 ,724 ,779 ,"3,025 ","22,801 ","3,637 ","17,335 ","1,829 "
,Estimated total,100.0%,"4,580 ",38 ,726 ,780 ,"3,036 ","22,854 ","3,647 ","17,375 ","1,832 "
,"Rate per 100,000 inhabitants",,282.6,2.3,44.8,48.1,187.3,"1,409.9",225.0,"1,071.9",113.0
"Provo-Orem, UT M.S.A.3",,"646,530",,,,,,,,,
,Includes Juab and Utah Counties,, ,,,,, ,,,
,City of Provo ,"117,189",135 ,1 ,44 ,13 ,77 ,"1,767 ",163 ,"1,476 ",128 
,City of Orem,"98,686",89 ,2 ,37 ,11 ,39 ,"1,970 ",156 ,"1,673 ",141 
,Total area actually reporting,100.0%,583 ,7 ,204 ,51 ,321 ,"8,264 ",859 ,"6,865 ",540 
,"Rate per 100,000 inhabitants",,90.2,1.1,31.6,7.9,49.6,"1,278.2",132.9,"1,061.8",83.5
"Pueblo, CO M.S.A.5",,"167,847", ,,,,, ,,,
,Includes Pueblo County,,,,,,,,,,
,City of Pueblo5,"112,381",,5 ,110 ,,481 ,"4,801 ",894 ,"3,208 ",699 
,Total area actually reporting,100.0%,,7 ,110 ,,519 ,"5,859 ","1,077 ","3,928 ",854 
,"Rate per 100,000 inhabitants",,,4.2,65.5,,309.2,"3,490.7",641.7,"2,340.2",508.8
"Punta Gorda, FL M.S.A.",,"187,062", ,,,,, ,,,
,Includes Charlotte County,,,,,,,,,,
,City of Punta Gorda ,"20,458",18 ,0 ,0 ,4 ,14 ,278 ,11 ,260 ,7 
,Total area actually reporting,100.0%,367 ,2 ,41 ,20 ,304 ,"2,114 ",273 ,"1,708 ",133 
,"Rate per 100,000 inhabitants",,196.2,1.1,21.9,10.7,162.5,"1,130.1",145.9,913.1,71.1
"Racine, WI M.S.A.3",,"196,488", ,,,,, ,,,
,Includes Racine County,,,,,,,,,,
,City of Racine,"77,269",291 ,4 ,45 ,53 ,189 ,990 ,212 ,682 ,96 
,Total area actually reporting,79.1%,364 ,4 ,53 ,61 ,246 ,"1,798 ",291 ,"1,366 ",141 
,Estimated total,100.0%,625 ,1 ,77 ,131 ,416 ,"2,801 ",546 ,"2,067 ",188 
,"Rate per 100,000 inhabitants",,318.1,0.5,39.2,66.7,211.7,"1,425.5",277.9,"1,052.0",95.7
"Raleigh-Cary, NC M.S.A.3",,"1,392,882", ,,,,, ,,,
